﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
07AA001,1,1,1917,13,1.08,B,1.61,B,0.453,B,1.76,B,14.2,,30.9,,27.3,,10.3,,6.23,,9.00,,3.85,B,2.97,B
07AA001,1,1,1917,14,1.05,B,1.56,B,0.425,B,1.64,B,15.0,,37.4,,26.2,,10.2,,5.78,,8.89,,3.77,B,3.06,B
07AA001,1,1,1917,15,0.963,B,1.47,B,0.425,B,1.53,B,16.7,,43.0,,26.0,,10.0,,5.55,,9.29,,3.62,B,3.26,B
07AA001,1,1,1917,16,0.906,B,1.33,B,0.430,B,1.36,B,18.3,,64.6,E,27.0,,10.3,,6.23,,7.73,,3.51,B,3.40,B
07AA001,1,1,1917,17,0.850,B,1.13,B,0.459,B,1.25,B,20.2,,66.3,,32.0,,10.6,,18.0,,6.09,,2.41,B,3.54,B
07AA001,1,1,1917,18,0.850,B,1.02,B,0.496,B,1.13,B,16.6,,46.4,,32.8,,10.8,,10.6,,6.23,,3.11,B,3.68,B
07AA001,1,1,1917,19,0.878,B,0.963,E,0.538,B,1.08,B,13.3,,39.4,,32.0,,11.6,,9.00,,6.09,,3.62,B,3.54,B
07AA001,1,1,1917,20,0.963,B,0.934,E,0.595,B,0.991,B,14.7,,37.7,,32.3,,13.3,,8.27,,5.80,,3.96,B,3.26,B
07AA001,1,1,1917,21,0.991,B,0.934,E,0.623,B,0.963,B,17.2,,38.5,,25.2,,12.9,,7.48,,5.89,,8.69,B,2.97,B
07AA001,1,1,1917,22,0.963,B,1.02,B,0.623,B,0.991,B,18.1,,35.4,,20.3,,11.9,,6.97,,5.49,,8.64,B,2.55,B
07AA001,1,1,1917,23,0.906,B,1.08,B,0.623,B,1.13,B,19.6,,31.7,,18.9,,11.6,,6.48,,5.21,,10.2,B,2.55,B
07AA001,1,1,1917,24,0.963,B,1.10,B,0.566,B,1.27,B,20.0,,31.4,,18.7,,10.3,,5.55,,5.07,,9.43,B,2.69,B
07AA001,1,1,1917,25,1.02,B,1.05,B,0.510,B,1.36,B,22.7,,29.7,,18.6,,9.71,,5.55,,5.15,,7.19,B,2.55,B
07AA001,1,1,1917,26,1.02,B,0.963,B,0.450,B,1.47,B,23.4,,31.4,,18.7,,9.12,,5.78,,4.79,,6.63,B,2.41,B
07AA001,1,1,1917,27,0.934,B,0.850,B,0.450,B,1.53,B,33.4,,35.1,,18.1,,8.27,,5.55,,4.42,,7.93,B,2.41,B
07AA001,1,1,1917,28,0.850,B,0.736,B,0.510,B,1.59,B,32.8,,34.5,,15.7,,6.97,,7.19,,4.13,,7.16,B,2.41,B
07AA001,1,1,1917,29,0.821,B,,,0.623,B,1.64,B,27.9,,35.7,,13.4,,8.27,,5.78,,4.56,,4.25,B,2.55,B
07AA001,1,1,1917,30,0.821,B,,,0.850,B,1.70,B,26.4,,35.1,,12.5,,8.27,,6.00,,4.59,,5.66,B,2.83,B
07AA001,1,1,1917,31,0.821,B,,,1.10,B,,,27.9,,,,11.6,,7.19,,,,4.79,,,,2.97,B
07AA001,1,1,1918,01,2.83,B,1.56,B,1.27,B,1.81,B,13.1,,26.4,,34.3,,18.5,,9.29,,6.23,,3.00,,2.41,B
07AA001,1,1,1918,02,2.69,B,1.70,B,0.991,B,1.73,B,16.0,,16.4,,33.1,,18.4,,8.72,,6.00,,2.89,,2.29,B
07AA001,1,1,1918,03,2.55,B,1.84,B,0.850,B,1.64,B,15.1,,13.9,,33.4,,18.3,,8.44,,5.75,,2.89,,2.12,B
07AA001,1,1,1918,04,2.55,B,1.84,B,0.991,B,1.59,B,16.7,,12.8,,33.7,,18.3,,8.44,,5.75,,2.92,,2.04,B
07AA001,1,1,1918,05,2.52,B,1.70,B,1.13,B,2.41,B,19.8,,15.7,,34.5,,18.6,,8.38,,5.75,,2.97,,1.98,B
07AA001,1,1,1918,06,2.41,B,1.70,B,1.27,B,3.68,B,18.6,,17.1,,41.9,,16.7,,8.95,,5.52,,2.92,,1.93,B
07AA001,1,1,1918,07,2.12,B,1.70,B,1.13,B,5.15,B,17.4,,28.2,,44.7,,16.7,,8.67,,5.61,,2.89,,1.95,B
07AA001,1,1,1918,08,1.56,B,1.56,B,0.991,B,5.13,B,15.2,,39.1,,48.7,,16.6,,8.38,,5.52,,2.89,B,2.01,B
07AA001,1,1,1918,09,1.42,B,1.56,B,1.05,B,5.10,B,10.4,,63.7,,49.8,,15.2,,8.27,,5.41,,2.83,B,2.01,B
07AA001,1,1,1918,10,1.13,B,1.47,B,0.991,B,4.96,B,9.23,,72.2,,51.5,,13.9,,7.11,,5.52,,2.80,B,1.95,B
07AA001,1,1,1918,11,1.27,B,1.39,B,0.878,B,5.44,,9.34,,88.9,,53.2,,14.1,,7.11,,5.75,,2.78,B,1.87,B
07AA001,1,1,1918,12,1.56,B,1.27,B,0.906,B,5.01,,11.3,,85.2,,56.4,,13.0,,6.37,,5.75,,2.72,B,1.78,B
07AA001,1,1,1918,13,1.56,B,1.13,B,1.02,B,4.47,,12.3,,82.4,,44.5,,12.3,,6.77,,5.75,,2.72,B,1.56,B
07AA001,1,1,1918,14,1.61,B,0.991,B,1.02,B,3.40,,18.1,,75.6,,42.5,,12.3,,6.85,,5.75,,2.69,B,1.70,B
07AA001,1,1,1918,15,1.70,B,0.991,B,0.991,B,3.03,,21.3,,69.4,,47.3,,12.4,,6.77,,5.61,,2.66,B,1.73,B
07AA001,1,1,1918,16,1.70,B,0.850,B,1.08,B,2.89,,18.7,,64.6,,48.4,,12.6,,6.77,,5.41,,2.58,B,1.73,B
07AA001,1,1,1918,17,1.84,B,0.991,B,1.16,B,2.66,,16.2,,63.1,,49.3,,11.6,,7.05,,5.30,,2.46,B,1.70,B
07AA001,1,1,1918,18,1.84,B,1.13,B,1.27,B,2.58,,16.0,,67.7,,52.1,,11.9,,7.67,,5.30,,2.41,B,1.53,B
07AA001,1,1,1918,19,1.70,B,1.27,B,1.36,B,2.63,,14.7,,68.2,,55.8,,11.8,,8.10,,5.32,,2.44,B,1.27,B
07AA001,1,1,1918,20,1.42,B,1.56,B,1.42,B,2.83,,12.2,,71.1,,42.5,,11.8,,8.55,,5.41,,2.46,B,1.25,B
07AA001,1,1,1918,21,1.56,B,1.70,B,1.36,B,5.07,,11.3,,62.9,,46.7,,12.0,,8.55,,5.10,,2.46,B,1.25,B
07AA001,1,1,1918,22,1.56,B,1.84,B,1.27,B,5.35,,10.2,,59.2,,34.5,,12.3,,8.67,,4.90,,2.49,B,1.27,B
07AA001,1,1,1918,23,1.67,B,1.78,B,1.27,B,4.87,,9.29,,44.2,,40.5,,14.5,,8.67,,4.70,,2.49,B,1.36,B
07AA001,1,1,1918,24,1.70,B,1.70,B,1.33,B,4.90,,7.99,,43.3,,26.8,,16.3,,8.16,,4.53,,2.49,B,1.36,B
07AA001,1,1,1918,25,1.56,B,1.67,B,1.47,B,5.01,,7.31,,42.8,,24.9,,18.2,,7.11,,4.28,,2.52,B,1.36,B
07AA001,1,1,1918,26,1.42,B,1.61,B,1.50,B,5.10,,7.16,,42.8,,21.9,,16.3,,7.02,,4.19,,2.52,B,1.36,B
07AA001,1,1,1918,27,1.42,B,1.56,B,1.50,B,5.18,,7.42,,42.8,,17.0,,12.8,,6.51,,3.96,,2.52,B,1.30,B
07AA001,1,1,1918,28,1.27,B,1.44,B,1.70,B,5.49,,9.97,,42.8,,18.7,,12.0,,6.43,,3.68,,2.55,B,1.25,B
07AA001,1,1,1918,29,1.27,B,,,1.76,B,6.43,,16.3,,42.2,,23.2,,9.57,,6.20,,3.43,,2.49,B,1.22,B
07AA001,1,1,1918,30,1.13,B,,,1.78,B,10.5,,29.7,,41.9,,21.0,,10.8,,6.20,,3.34,,2.46,B,1.22,B
07AA001,1,1,1918,31,1.27,B,,,1.81,B,,,30.6,,,,20.9,,9.57,,,,3.14,,,,1.10,B
07AA001,1,1,1919,01,1.02,B,0.821,B,0.555,B,1.25,B,5.52,,25.0,,33.1,,26.3,,9.29,,5.13,,2.12,B,1.16,B
07AA001,1,1,1919,02,1.02,B,0.708,B,0.566,B,1.25,B,5.30,,19.3,,35.1,,25.5,,8.21,,4.56,,1.98,B,1.05,B
07AA001,1,1,1919,03,1.02,B,0.680,B,0.566,B,1.13,B,4.93,,18.9,,36.8,,25.1,,8.10,,4.36,,1.87,B,0.991,B
07AA001,1,1,1919,04,1.02,B,0.680,B,0.595,B,1.10,B,4.81,,18.0,,43.3,,24.3,,9.88,,4.36,,1.95,B,0.906,B
07AA001,1,1,1919,05,0.991,B,0.651,B,0.623,B,1.10,B,4.84,,17.8,,50.7,,23.0,,12.2,,4.19,,2.10,B,0.850,B
07AA001,1,1,1919,06,1.05,B,0.651,B,0.623,B,1.10,B,5.13,,17.4,,49.3,,22.8,,12.0,,4.42,,2.07,B,0.765,B
07AA001,1,1,1919,07,1.08,B,0.736,B,0.595,B,0.991,B,5.04,,17.2,,33.4,,22.6,,11.9,,4.19,,2.04,B,0.708,B
07AA001,1,1,1919,08,1.10,B,0.765,B,0.566,B,1.13,B,5.24,,17.4,,27.0,,21.0,,10.7,,4.19,,2.10,B,0.651,B
07AA001,1,1,1919,09,1.13,B,0.736,B,0.547,B,1.56,B,5.55,,17.7,,31.1,,20.0,,8.98,,4.05,,2.15,B,0.566,B
07AA001,1,1,1919,10,1.13,B,0.708,B,0.510,B,1.84,B,5.86,,21.0,,40.8,,19.0,,8.98,,3.77,,2.04,B,0.538,B
07AA001,1,1,1919,11,1.13,B,0.708,B,0.481,B,2.18,B,6.34,,20.0,,45.9,,18.6,,8.98,,3.71,,2.04,B,0.538,B
07AA001,1,1,1919,12,1.13,B,0.680,B,0.459,B,2.21,B,6.57,,19.3,,47.3,,17.4,,17.5,,3.71,,2.07,B,0.510,B
07AA001,1,1,1919,13,1.10,B,0.680,B,0.464,B,2.18,B,6.82,,19.2,,41.9,,16.4,,16.4,,3.57,,2.12,B,0.510,B
07AA001,1,1,1919,14,0.963,B,0.708,B,0.481,B,2.15,B,7.70,,24.5,,45.0,,15.3,,11.9,,3.43,,2.21,B,0.510,B
07AA001,1,1,1919,15,1.02,B,0.680,B,0.481,B,2.18,B,8.16,,26.0,,47.3,,15.3,,10.5,,3.43,,2.32,B,0.510,B
07AA001,1,1,1919,16,0.991,B,0.680,B,0.476,B,2.27,B,8.50,,28.9,,54.4,,14.7,,9.88,,3.43,,2.38,B,0.538,B
07AA001,1,1,1919,17,0.991,B,0.651,B,0.535,B,2.35,B,11.4,,34.5,,55.2,,13.9,,8.67,,3.11,,2.44,B,0.566,B
07AA001,1,1,1919,18,1.02,B,0.623,B,0.595,B,2.44,B,14.0,,35.1,,50.4,,13.5,,8.98,,3.06,,2.58,B,0.595,B
07AA001,1,1,1919,19,1.05,B,0.595,B,0.680,B,2.55,B,20.3,,43.6,,42.5,,12.7,,8.86,,3.00,,2.49,B,0.680,B
07AA001,1,1,1919,20,1.05,B,0.566,B,0.708,B,2.66,B,21.2,,52.1,,41.3,,12.4,,8.67,,2.94,,2.07,B,0.736,B
